"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"46","BLT Fish","Meltemi, ZZ's Clam Bar, Seamore?s Nolita, La Marina, Oceana","21 W 17th St New York, NY, 10011","Seafood",40.7386,-73.99336,"New York City"
"47","Blue Fin","Barfish Bistro, Estiatorio Milos, Catch NYC, Ostra, Fish Tag","1567 Broadway New York, NY, 10036","American (New), Sushi, Seafood, Cocktails",40.75941,-73.98566,"New York City"
"48","Blue Water Grill","Atlantic Grill East, Barfish Bistro, Estiatorio Milos, Catch NYC, Ostra","31 Union Sq W New York, NY, 10003","American (New), Sushi, Seafood",40.73682,-73.99111,"New York City"
"49","Boca Chica","Seafood King Fish Market, Rincon Limeno Restaurant, Marisco Centro, Red Hook Lobster Pound 16, South Beach Restaurant & Lounge","1354 Amsterdam Ave New York, NY, 10027","Seafood, Latin American",40.81404,-73.95599,"New York City"
"50","Bombay's Indian Restaurant","Himalayan Bistro, Tulip Indian Restaurant, The Upper Crust Pizzeria, Sable's, Lorenz Island Kuisine","60 Pearl St New York, NY, 10004","Indian, Seafood, Chicken, Salads, Asian, Healthy",40.70342,-74.01108,"New York City"
"51","Boston Chops","Maloney & Porcelli, Mastro's Steakhouse, Legal Crossing, 212 Steakhouse, Legal Osteria","1375 Washington Street Boston, MA, 02118","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"52","Boston Sail Loft","Blossom, Fish Market, Weathervane Seafood Restaurant, Jeremy's Ale House, Brother's Crawfish","80 Atlantic Ave Boston, MA, 02110","Seafood, American",42.362474,-71.0505556,"Boston"
"53","Brother's Crawfish","Fish Market, Weathervane Seafood Restaurant, Jeremy's Ale House, The Lobster Shack, Susan's Fish N Chips","272 Adams St Dorchester, MA, 02122","Cajun & Creole, Southern, Seafood",42.299952,-71.0579946,"Boston"
"54","Bubba Gump Shrimp Co.","Hyman's Seafood, Coast, Bubba Gump Shrimp Co. 99, Joe's Crab Shack, Joe's Crab Shack","1501 Broadway New York, NY, 10036","Seafood, American, Soul Food",40.75706,-73.98648,"New York City"
"55","Bubba Gump Shrimp Co. 1501","Cevich, Ben & Jack's Steakhouse 255, Tommy Bahama, Saigon Seafood Restaurant, Babalu","151 Elizabeth St New York, NY, 10012","Seafood, Latin American, Local/Organic, Nuevo Latino",40.72042,-73.99529,"New York City"
"56","Bubba Gump Shrimp Co. 99","Hyman's Seafood, Bubba Gump Shrimp Co., Joe's Crab Shack 301, Joe's Crab Shack, Joe's Crab Shack","99 S Market St Charleston, SC, 29401","Seafood, American",32.7804165,-79.9309005,"Charleston"
"57","Bubor Cha Cha","Fuleen Seafood, New Golden Gate, GaGa Seafood, New Jumbo Seafood, Pings","45 Beach St Boston, MA, 02111","Chinese, Dim Sum, Seafood",42.3513171,-71.060926,"Boston"
"58","Burger & Lobster","Ed's Lobster Bar Cart, J's Oyster, Ed's Lobster Bar, Strip House, The Boil","39 W 19th St New York, NY, 10011","Burgers, Seafood",40.74006,-73.99336,"New York City"
"59","Cafe Espanol","Junior's Seafood, Junior's Seafood, Le Jardin Bistro, Le Jardin Bistro, Albert's Mofongo, Albert's Mofongo","172 Bleecker St New York, NY, 10012","Spanish, Seafood, Tapas",40.72877,-74.00074,"New York City"
"60","Cafe Espanol","Junior's Seafood, Junior's Seafood, Le Jardin Bistro, Le Jardin Bistro, Albert's Mofongo, Albert's Mofongo","78 Carmine St New York, NY, 10014","Spanish, Seafood",40.72949,-74.00467,"New York City"
"61","Cafe Espanol 172","The John Dory Oyster Bar, Red Hook Lobster Pound 365, Harlow, Flex Mussels, Flex Mussels","172 Waverly Pl New York, NY, 10014","American (New), Seafood",40.73402,-74.00139,"New York City"
"62","Cafe Espanol 78","Prime 333, The Mermaid Inn, The Mermaid Inn, Charlie Palmer Steak, Legal Sea Foods 255, Legal Sea Foods 26, Legal Sea Foods 100","79 MacDougal St New York, NY, 10012","Seafood, Cocktails",40.72889,-74.00187,"New York City"
"63","CajunSea","Pearlz Oyster Bar 153, Pearlz Oyster Bar 9, JJR Highridge Fishery, A W Shuck's Seafood, Sagaponack","32 W 33rd St New York, NY, 10001","Cajun & Creole, Seafood",40.74815,-73.98697,"New York City"
"64","Calle 174 Pescaderia (fka Sea Flower)","El Palacio Seafood Market, El Puerto Seafood & Fish Market, Kim's Aunt Kitchen Cart, Bubba Gump Shrimp Co. 99, Ben & Jack's Steakhouse 219","4127 Broadway New York, NY, 10032","Seafood",40.84583,-73.93877,"New York City"
"65","Captain D's 1936","A Taste Of Seafood, Lighthouse Fish Market & Restaurant, Huff's Seafood, Charleston Crab House 41, Charleston Crab House 145","1936 Savannah Hwy Charleston, SC, 29407","Seafood, American",32.7892096,-80.0247385,"Charleston"
"66","Captain D's 4008","A Taste Of Seafood, Lighthouse Fish Market & Restaurant, Huff's Seafood, Charleston Crab House 145, Charleston Crab House 41","4008 Rivers Ave Charleston, SC, 29405","Seafood, American",32.8655566,-79.9887144,"Charleston"
"67","Captain D's 5130","A Taste Of Seafood, Lighthouse Fish Market & Restaurant, Huff's Seafood, Charleston Crab House 41, Charleston Crab House 145","5130 Ashley Phosphate Rd Charleston, SC, 29418","Seafood, American",32.9161868,-80.105756,"Charleston"
"68","Captain D's 6326","A Taste Of Seafood, Lighthouse Fish Market & Restaurant, Huff's Seafood, Charleston Crab House 41, Charleston Crab House 145","6326 Rivers Ave North Charleston, SC, 29410","Seafood, American",32.9114158,-80.0236904,"Charleston"
"69","Captain Fishbones","Fish Market, Captain Marden's Seafoods, Pee Dee Steak House, Hank's Seafood Restaurant, Blackstone Grill","353 Cambridge St Allston, MA, 02134","Burgers, Pizza, Seafood, Soups, Steak, American, Salads",42.356104,-71.1324579,"Boston"
"70","Captain Marden's Seafoods","Blackstone Grill, Hank's Seafood Restaurant, Barking Crab, Union Oyster House, Fish Market","15 Court Square, Boston, MA 02108","Sandwiches, Seafood",42.358158,-71.0585053,"Boston"
"71","Caridad","Sevilla, Albert's Mofongo, Le Jardin Bistro, Cafe Espanol, Cafe Espanol","4799 Broadway New York, NY, 10034","Puerto Rican, Seafood, Latin American",40.86641,-73.92545,"New York City"
"72","Catch NYC","Fish Tag, Ostra, Barfish Bistro, Atlantic Grill East, Taverna Kyclades","88 9th Ave New York, NY, 10014","Sushi, Seafood",40.74235,-74.00408,"New York City"
"73","Cavatappo Grill","Crepes du Nord, V Bar, Joseph's, Cucina Di Pesce, Umberto's Clam House","1712 1st Ave New York, NY, 10128","Italian, Seafood, Pasta, Salads, Grill, Healthy",40.7785,-73.94789,"New York City"
"74","Caviar Russe","Russ & Daughters Cafe, L'Espalier, Luke's Lobster 242, Barney Greengrass, Beluga Bar by Caviarteria","538 Madison Ave New York, NY, 10022","Russian, Seafood",40.76077,-73.97385,"New York City"
"75","Central Wharf Co.","Sagaponack, Luke's Lobster 207, Live Bait, Claw Daddy's, Luke's Lobster 26","160 Milk Street Boston, MA, 02109","American (New), Seafood",42.358714,-71.052724,"Boston"
"76","Cevich","Ben & Jack's Steakhouse 255, Tommy Bahama, Saigon Seafood Restaurant, Bubba Gump Shrimp Co. 1501, Babalu","21 E 15th St New York, NY, 10003","Mexican, Seafood",40.73637,-73.99197,"New York City"
"77","Charleston Crab House 145","Huff's Seafood, Lighthouse Fish Market & Restaurant, Captain D's 4008, Captain D's 6326, Captain D's 1936, Captain D's 5130","145 Wappoo Creek Drive Charleston, SC, 29412","Seafood, American",32.7655866,-79.9748279,"Charleston"
"78","Charleston Crab House 41","Huff's Seafood, Lighthouse Fish Market & Restaurant, Captain D's 6326, Captain D's 5130, Captain D's 1936, Captain D's 4008","41 S Market St Charleston, SC, 29401","Seafood, American",32.7807917,-79.9282554,"Charleston"
"79","Charlie Palmer Steak","L&W Oyster Co., Smith & Wollensky, McCormick & Schmick's, Oceanaire, Legal Sea Foods 100, Legal Sea Foods 255, Legal Sea Foods 26","3 E 54th St New York, NY, 10022","Seafood, Steak",40.76096,-73.97465,"New York City"
"80","Chart House","Legal C Bar, City Lobster & Steakhouse, Wild Edibles, LTK, Harp Raw Bar & Grill","60 Long Wharf Boston, MA, 02110","Seafood, Steak",42.3601671,-71.0495214,"Boston"
"81","Chau Chow City","Three Ocean, Pings, New Golden Gate, Bubor Cha Cha, Fuleen Seafood","83 Essex St Boston, MA, 02111","Chinese, Seafood",42.3523984,-71.0602081,"Boston"
"82","Chicken House","Kim's Aunt Kitchen Cart, El Puerto Seafood & Fish Market, Lobster Boat Restaurant, Calle 174 Pescaderia (fka Sea Flower), Fire House Seafood","270 W 36th St New York, NY, 10018","Vietnamese, Sandwiches, Seafood, Chicken",40.75326,-73.99231,"New York City"
"83","China Bo ($1 Chinese Rice/#1 Chinese Food)","Asian Diet Food - Broadway, Asian Diet Food - John St., Chau Chow City, Three Ocean, Pings","49 Warren St Roxbury, MA, 02119","Chinese, Japanese, Sushi, Noodles, Thai, Mexican, Ice Cream, Pizza, Seafood, Soups, Wings, Pasta, Desserts, Salads, Vegetarian, Asian, Healthy, Late Night, Subs",42.3291303,-71.0837041,"Boston"
"84","City Crab & Seafood Co.","Bait & Hook, Tia's, Chart House, Legal C Bar, Clambakes By Jim Sanford","10 E 16th St New York, NY, 10003","Seafood",40.7368109,-73.9920476,"New York City"
"85","City Lobster & Steakhouse","Legal C Bar, Wild Edibles, Chart House, LTK, Harp Raw Bar & Grill","121 W 49th St New York, NY, 10020","Seafood, Steak",40.7599864,-73.9822192,"New York City"
"86","Clambakes By Jim Sanford","Pier A, Island Creek Oyster Bar, LTK, Benjamin Steakhouse, Pearl Oyster Bar","205 West 95th Street New York, NY, 10025","Seafood",40.79382,-73.97134,"New York City"
"87","Claw Daddy's","Yankee Lobster, Fire House Seafood, J's Oyster, Central Wharf Co., The Daily Catch 2, The Daily Catch 323","185 Orchard St New York, NY, 10002","Cajun & Creole, Seafood",40.72199,-73.98838,"New York City"
"88","Coast","A W Shuck's Seafood, Bubba Gump Shrimp Co., Hyman's Seafood, Joon's Westside Fish, Bubba Gump Shrimp Co. 99","39 John St Charleston, SC, 29403","Seafood, American",32.7882886,-79.9370647,"Charleston"
"89","Crab Shack","Famous Fish Market, Long John Silver's, Luke's Lobster 426, Amsterdam Ave Fish, Charleston Crab House 145, Charleston Crab House 41","800 Century Pl Charleston, SC, 29412","Seafood, American",32.7365658,-79.9507192,"Charleston"
"90","Crave Fishbar","Seamore?s Nolita, Mary's Fish Camp, Walter's, Legal Osteria, Waterline","945 2nd Ave New York, NY, 10022","Seafood",40.75513,-73.9687,"New York City"
"91","Crepes du Nord","Cavatappo Grill, V Bar, Joseph's, Cucina Di Pesce, Umberto's Clam House","17 S William St New York, NY, 10004","French, Sandwiches, Seafood, Soups, American, Desserts, Wraps, Vegetarian, Breakfast, Fresh Fruit, Healthy",40.70445,-74.01048,"New York City"
"92","Crispin's","Trattoria iL Gusto (Formerly Pesce & Pasta), Flex Mussels 174, The Mermaid Inn 96, La Gioconda, Luke's Lobster 685","764 10th Ave New York, NY, 10019","Italian, Mediterranean, Seafood",40.76574,-73.9907,"New York City"
"93","Crown Fried Chicken","Nick's House of Pizza & Seafood, Supreme House of Pizza, Arboretum Pizza Grill, Alfredo's Italian Kitchen, Telio","3633 Broadway New York, NY, 10031","Burgers, Seafood, Chicken",40.82948,-73.94858,"New York City"
"94","Cucina Di Pesce","V Bar, Umberto's Clam House, Crepes du Nord, Off the Boat, Cavatappo Grill","87 E 4th St New York, NY, 10003","Italian, Seafood",40.72651,-73.98977,"New York City"
"95","Cypress Restaurant","Legal Harborside, Red Hook Lobster Pound, Red Hook Lobster Pound, James Hook & Co Lobsters, 212 Steakhouse","167 E Bay St Charleston, SC, 29401","Seafood, American",32.7787775,-79.9273591,"Charleston"
"96","Dardanel","Kipo's, Royal Roast Beef and Seafood, 24 Hour Pizza Delivery, Nerai, Telio","1071 1st Ave New York, NY, 10022","Mediterranean, Turkish, Sandwiches, Seafood, Salads, Healthy, Lunch Specials",40.7593824,-73.9625016,"New York City"
"97","DiMillo's Floating Restaurant & Marina","Street & Co., Tracks Raw Bar & Grill, The Falmouth Sea Grill, Atlantic Fish Company, Pearl Oyster Bar","25 Union Wharf Portland, ME, 04101","Seafood, American",43.6540933,-70.2534285,"Portland"
"98","Ditch Plains","Frying Pan, 75 Chestnut, The Claw, Towne Stove and Spirits, Hurley's Saloon","29 Bedford St New York, NY, 10014","Seafood, American, Fish & Chips",40.72922,-74.00373,"New York City"
"99","Docks","Wild Edibles, LTK, City Lobster & Steakhouse, Hunt & Fish Club, Legal C Bar","633 3rd Ave New York, NY, 10017","Sushi, Seafood",40.74971,-73.97478,"New York City"
"100","Durgin Park","The Boathouse 10, The Boathouse 38, The Boathouse 549, Fleet Landing, Locklear's Fine Seafood","340 N Market St Boston, MA, 02109","Seafood, American, New England",42.3605442,-71.0552566,"Boston"
"101","East Bay Diner","Silver Star Restaurant, Aldea - Quick-Service (Lunch), Aura, The Kitchen Sink, Wai Cafe","491 1st Ave New York, NY, 10016","Sandwiches, Seafood, Soups, American, Desserts, Wraps, Salads, Breakfast, Healthy",40.74061,-73.97607,"New York City"
"102","East Ocean City","Lok Sing Seafood Restaurant, New Jumbo Seafood, GaGa Seafood, Fuleen Seafood, Bubor Cha Cha","27 Beach St Boston, MA, 02111","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
"103","Ed's Chowder House","Stockyard, Harp Raw Bar & Grill, Harbour Lights, Mare Seafood, Ben & Jack's Steakhouse, Ben & Jack's Steakhouse","44 W 63rd St New York, NY, 10023","Seafood, Soups, Cocktails",40.77137,-73.98268,"New York City"
"104","Ed's Lobster Bar","Burger & Lobster, Eighteen Restaurant, James Hook & Co Lobsters, Lobster Smack, Cypress Restaurant","222 Lafayette St New York, NY, 10012","Seafood, New England",40.72211,-73.99763,"New York City"
"105","Ed's Lobster Bar Cart","Luke's Lobster 26, Claw Daddy's, Burger & Lobster, J's Oyster, Yankee Lobster","225 Vesey St New York, NY, 10281","Sandwiches, Seafood",40.71464,-74.01495,"New York City"
"106","Eighteen Restaurant","Lobster Smack, James Hook & Co Lobsters, Luke's Lobster 75, Amber Sushi (28th St), Iron Sushi","240 E 81st St New York, NY, 10028","Sushi, Deli Food, Burgers, Seafood, Kosher",40.7747,-73.95465,"New York City"
"107","El Palacio Seafood Market","Calle 174 Pescaderia (fka Sea Flower), Famous Fish Market, El Puerto Seafood & Fish Market, Ben & Jack's Steakhouse 219, Terrace Fish & Chips","1049 St Nicholas Ave New York, NY, 10032","Seafood, Latin American",40.8367189,-73.9403214,"New York City"
"108","El Puerto Seafood & Fish Market","Kim's Aunt Kitchen Cart, Calle 174 Pescaderia (fka Sea Flower), El Palacio Seafood Market, Bubba Gump Shrimp Co. 99, Joe's Crab Shack 301","511 W 125th St New York, NY, 10027","Seafood, American",40.81404,-73.95643,"New York City"
"109","El Rey de la Caridad","Sevilla, Albert's Mofongo, Le Jardin Bistro, Cafe Espanol, Cafe Espanol","973 Amsterdam Ave New York, NY, 10025","Puerto Rican, Seafood, Caribbean, Latin American",40.80151,-73.9647,"New York City"
"110","Esca","Virgola, Barchetta, Il Pesce, Bay Kitchen Bar, Black Crescent","402 W 43rd St New York, NY, 10036","Italian, Seafood, Local/Organic",40.75921,-73.99275,"New York City"
"111","Estiatorio Milos","Barfish Bistro, Ostra, Fish Tag, Catch NYC, Atlantic Grill East","125 W 55th St New York, NY, 10019","Greek, Mediterranean, Seafood",40.76355,-73.97903,"New York City"
"112","Famous Fish Market","Long John Silver's, Luke's Lobster 426, Charleston Crab House 41, Charleston Crab House 145, Amsterdam Ave Fish","684 St Nicholas Ave New York, NY, 10031","Seafood",40.82357,-73.94482,"New York City"
"113","Fire House Seafood","Morse Fish Company, Yankee Lobster, Claw Daddy's, Luke's Lobster 26, The Daily Catch 2, The Daily Catch 323","5 High St Boston, MA, 02110","Seafood",42.3531856,-71.0567199,"Boston"
"114","Fish","Fish Market, Boston Sail Loft, Brother's Crawfish, J's Oyster, Blossom","442 King St Charleston, SC, 29403","Seafood, American",32.7887425,-79.9380921,"Charleston"
"115","Fish Market","Captain Fishbones, Captain Marden's Seafoods, Hank's Seafood Restaurant, Blackstone Grill, Brother's Crawfish","111 South St New York, NY, 10038","Seafood, Wings, Fish & Chips",40.7071693,-74.0019226,"New York City"
"116","Fish Tag","Ostra, Kellari Taverna, Taverna Kyclades, Thalassa, Atlantic Grill East","222 W 79th St New York, NY, 10024","Mediterranean, Seafood, Tapas, Wild Game",40.78333,-73.97946,"New York City"
"117","Fleet Landing","Durgin Park, The Boathouse 10, The Boathouse 38, The Boathouse 549, No Name Restaurant","186 Concord St Charleston, SC, 29401","Seafood, American",32.7803972,-79.9247328,"Charleston"
"118","Flex Mussels","The Capital Grille, The Capital Grille, Red Hook Lobster Pound 365, Red Hook Lobster Pound 365, The John Dory Oyster Bar, The John Dory Oyster Bar","154 W 13th St New York, NY, 10011","Seafood, Eclectic & International",40.73739,-73.9997,"New York City"
